Prefix: (Registration Details),Reg No: (Registration Details),Suffix: (Registration Details),Site: (Collection Details)/Site: (Object Data from time of Collecting Event)/Event/Site: (Object Data from time of Collecting Event),Name: (Geological Details),Geo. Details/ Synonym: (Geological Details),Total Weight: (Specimen Details),Type: (Geological Details),Distribution,Acquisition Date: (Acquisition)
MET,1,,"Australia, South Australia, 30km W of Choolkooning Rockhole, and 63km N of Hughes Nullarbor Plain., Nullarbor Plain (29 55 0 S, 129 50 0 E)",,,1977g,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET1Aa 653g, MET1Ab 350g, MET1Ac 139.7g, MET1Ad 152.7g, METIAe 65.6g, MET1Af 237g, MET1Ag 78.3g, MET1Ah 179.4g, MET1Ai 86.2g.  MET1Aa-d interlocked when received.", Mar 1992
MET,2,,"Australia, South Australia, Details are unknown but probably comes from the SE of SA. Specimen was recognised in the collections of SA Mines Dept., South East",,,2.031kg,"Stone. Carbonaceous chondrite, type II (C2)","SAM: MET2Aa 1365g, MET2Ab 41.3g. AUGD: 38g, AM(NH): 1.8g",1983
MET,3,,"Australia, South Australia, Eight miles NW of Old Carraweena Head Station on the side of a sandhill., Far North (29 4 0 S, 139 55 0 E)",,,20.81kg,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET3Aa 454.8g, MET3Ab 699g, AUGD: 20kg, USNM: 375g, AMNH: 5.7g, BMNH: 85g",
MET,4,,"Australia, South Australia, On flood plain of Brachina Creek, 7km W of railway line., Flinders Ranges (31 18 0 S, 138 23 0 E)",,,202.85g,"Stone. Achondrite, Ca-poor (ACANOM)","SAM: MET4Aa 142g, MET4Ab 8.8g, MET4Ac 8.4g, MET4Ad 3.2g, MET4Ae 1.24g, MET4Af 3.05g. Cast in Discovery Centre",1974
MET,5,,"Australia, South Australia, 12km SW of Buckleboo railway siding.  Found whilst ploughing., Eyre Peninsula (32 57 20 S, 136 8 15 E)",,,992g,Stone. Olivine-bronzite chondrite (H6),"SAM: MET5Aa 972g, MET5Ab 20.2g", Sep 1978
MET,6,,"Australia, South Australia, 5km from Morgan, on E side of River Murray, Riverland (34 4 0 S, 139 45 0 E)",,,3.29kg,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET6Aa 2.382kg, MET6Ab 434g, MET6Ac 70g, (Met6Ac in Discovery Centre), USNM: 71g.", May 1910
MET,7,,"Australia, South Australia, At an aboriginal campsite, 7 miles S of Caroline, near the Glenelg River, South East (38 0 0 S, 139 45 0 E)",,,800g,Stone. Olivine-bronzite chondrite (H5),"SAM: MET7Aa 31.7g, MV: 750g, USNM: 13g.",10 Jan 1963
MET,8,,"Australia, South Australia, 6 miles SW of Old Carraweena Station, Far North (29 14 0 S, 139 56 0 E)",,ACCALANA,31.74kg,Stone. Olivine-hypersthene chondrite (L3),"(CARRAWEENA) SAM: MET8Aa 21.77kg, 8Ab 700g, 8Ac 297g, 8Ad 34.4g, 8Ae 23g, 8Af 14.3g, 8Ag 13.3g, 8Ah 42.9g, 8Ai 45.1g, 8Aj 72.3g, 8Ca 47.8g, (ACCALANA) 8Ba 2.497kg, see remarks for OS holdings",1914
MET,9,,"Australia, South Australia, 0.75 miles W of Cocunda Rocks, Eyre Peninsula (32 49 0 S, 134 48 0 E)",,,482g,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET9Aa 375g, AMNH: 0.8g",1946
MET,10,,"Australia, South Australia, 2 small masses, 2km E of Motpena homestead & 12km NW of Commodore railway station, near Parachilna, Flinders Ranges (31 12 0 S, 138 18 0 E)",,,304.3g,Stone. Chondrite (H6),"SAM: MET10Aa 91.6g, MET10Ab 97.2g",17 May 1972
MET,11,,"Australia, South Australia, One mass found in 1939 by G Ninnis, 13km E of Coomandook. Second mass found by R Goodall in Jan 1967 in paddock 6km NE of Ki-Ki., South East (32 25 0 S, 139 45 0 E)",,"COOMANDOOK I, COOMANDOOK II, KI-KI",5.25kg,Stone. Olivine-bronzite chondrite (H6),"(COOMANDOOK I) SAM: MET11Aa 845.4g, (COOMANDOOK II) SAM: MET11Ba 4.217kg, 11Bb 40.5g, 11Bc 41.1g, 11Bd 119g, 11Be 50.5g, USNM: 11g", Jan 1967
MET,12,,"Australia, South Australia, In sand dunes 5.5km W of Coonana Bore., Far North (29 51 0 S, 140 42 0 E)",,,6.80kg,Stone. Olivine-bronzite chondrite (H4),"SAM: MET12Aa 4.35kg, MET12Ab 370g, MET12Ac 22.8g, MET12Ad 54.6g AMNH: 17g, BMNH: 20.5g", Dec 1962
MET,13,,"Australia, South Australia, 48km NW of Cleve, close to the location of the Kyancutta mass., Eyre Peninsula (33 18 0 S, 136 1 0 E)",,CARALUE.,5.72kg,"Iron. Octahedrite, medium (1.2mm)(IIIA)","SAM: MET13Aa 128g (set in resin), MET13Ab 92.9g, AUGD: main mass, BMNH: 96.5g", Jul 1972
MET,14,,"Australia, South Australia, On a granite hill 0.4km N of East Crocker uranium prospect, near Croker Well camp, NW of Plumbago Station, Olary Province., Far North (32 1 0 S, 139 47 0 E)",,CROCKER WELL,3.8g,Stone. Chondrite (LL7) breccia.,SAM: MET14AA 2.3g.,13 Jun 1956
MET,15,,"Australia, South Australia, On loamy plain 6.8km NNW of Ethiudna Hill and NW of Plumbago Station, Flinders Ranges., Flinders Ranges (31 59 0 S, 139 46 0 E)",,,74.318kg,Stone. Olivine-hypersthene chondrite (L4a),"SAM: MET15Aa 74kg, MET15Ab 30.6g.",21 May 1985
MET,16,,"Australia, South Australia, On the property of E G Voumard, near Kaldoonera Hill, Eyre Peninsula., Eyre Peninsula (32 37 0 S, 134 51 0 E)",,,7.49kg,Stone. Olivine-bronzite chondrite (H6),"SAM: MET16A 4.577kg, MET16Ba 1.857kg, MET16Bb 6.3g, MET16Bc 41.2g MET16Ca 2.584kg, MET16Da 230g, G8215 missing, AMNH: 478g, MAX PLANCK INST: 38G, USNM: 1.4g.",27 Jun 1956
MET,17,,"Australia, South Australia, On top of sandhill 3 miles S of Kyancutta, Section 11, Hundred of Kappakoola, Eyre Peninsula., Eyre Peninsula (33 15 0 S, 135 32 0 E)",,,392.5g,Stone. Olivine-bronzite chondrite (H6) brecciated.,"SAM: MET17Aa 8.1g, USNM: 0.7g, BMNH: 45g. Main mass was at AUGD but may be lost.",20 Dec 1973
MET,18,,"Australia, South Australia, Fell on the night of 25/11/1930. Found in a fallowed sandy wheat field, 3.5km E of Karoonda., Murraylands (39 5 0 S, 139 55 0 E)",,KAROONA,41.73kg,Stone. Carbonaceous chondrite (C5).,"SAM: MET18Aa 3.605kg, 18Ba 837g, 18Ca 153g, 18Da 31g, 18Ea 14.7g, 18Fa 12.5g, 18Ga 28.9g, 18Ha 290g, 18Ia 143g, G5999 & G6004 lost, AMNH: 1.3kg, AUST MUS: 151g, MAX PLANCK: 127g, USNM: 123g, cont'd",1930
MET,19,,"Australia, South Australia, 16km W of the Kielpa railway siding.  Appears to be about one third of the original stone which has not been found., Eyre Peninsula (33 36 0 S, 136 6 0 E)",,,13.6kg,Stone. Olivine-bronzite chondrite (H5),"SAM: MET19Aa 2.034kg, AUGD: main mass, USNM: 351g, BMNH: 275g.", Feb 1972
MET,20,,"Australia, South Australia, On a hardened part of a sand dune, about 1km N of the NW tip of Lake Kittakittaooloo, Tirari Desert., Lake Eyre Basin (28 2 0 S, 138 8 0 E)",,,3.6kg,Stone. Olivine-bronzite chondrite (H4).,"SAM: MET20Aa 3.478kg, USNM: 10g", Apr 1971
MET,21,,"Australia, South Australia, In sandy paddock, 35km ESE of Kyancutta., Eyre Peninsula (33 17 0 S, 136 0 0 E)",,,32.6kg,"Iron. Octahedrite, medium (1.1mm) (IIIA)","SAM: MET21Aa 861g, MET21Ab 151g MET21Ac 16.8kg, ANU: main mass, AUST MUS: 1.36kg, FIELD MUS: 1.41kg, USNM: 754g, WAM: 750g, ARIZ. STATE UNIV: 464g, BMNH: 350.4g, 29g, 19g.",
MET,22,,"Australia, South Australia, KI found by G Wiech 1963, KII in 1971. KIII by I Schumacher in 1971, purchased by D McColl 1972., Mid North (33 54 0 S, 138 29 0 E)",,"KYBUNGA I, KYBUNGA II, KYBYNGA III",7.880kg,Stone. Olivine-hypersthene chondrite (L5),"(KI) SAM: MET22Aa 2.262kg, MET22Ab 490g, (KII) MET22Ba 93.9g, AUGD: 2.4kg, USNM: 94g, FIELD MUS: 8g.",1969
MET,23,,"Australia, South Australia, Four stones found within an area of a half mile radius close to Jacky Point, Lake Bonney., South East (37 45 0 S, 140 18 0 E)",,,2.75kg,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET23Aa 1.905kg, MET23Ba 252g, MET23Bb 101g, MET23Bc 25.2g, MET23Bd 10.6g, METCa 41.9g.", Dec 1962
MET,24,,"Australia, South Australia, Original stone collected by B Austin 8 miles N of Peela rock hole Wilgena Station. Bulk of material collected by R Bedford 10/1934, Eyre Peninsula (30 20 0 S, 134 45 0 E)",,,25.85kg,"Stone. Olivine-hypersthene chondrite, amphoterite (LL6)xenolithic","SAM: MET24Aa 1.462kg, MET24Ab 33.2g, ANU: main mass, ARIZ. STATE UNIV: 3.6kg, USNM: 1085g, AMNH: 767g, WAM: 450g, AM: 326g, PARIS MUS. D'HIST. NAT: 219g, FIELD MUS: 113g, BMNH: 3.465kg",
MET,25,,"Australia, South Australia, In the backyard of Mr Radomi's property at 21 Traeger St, Loxton., Riverland (34 27 0 S, 140 34 0 E)",,,22g,Stone. Olivine-hypersthene chondrite (L5),SAM: MET25Aa 8g.,21 Mar 1984
MET,26,,"Australia, South Australia, Found by Mr Smith while ploughing on his property near Mangalo., Eyre Peninsula (33 34 0 S, 136 39 0 E)",,,1050g,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET26Aa 660g, MET26Ab 112g, MET26Ac 35.3g, MET26Ad 41.3g.",
MET,27,,"Australia, South Australia, No details about the find are known., Far North (29 24 0 S, 139 59 0 E)",,MONTE COLLINA,116.8g,Stone. Olivine-hypersthene chondrite (L3),"SAM: MET27Aa 6.0g, MET27Ab 71.84g, MET27Ac 5.84g, AMNH: 5.1g",
MET,28,,"Australia, South Australia, Adjacent to Anna Creek Station's Moorumbunna Paddock, 11km W of William Creek railway station., Far North (28 55 0 S, 136 15 0 E)",,,76.9kg,"Iron. Octahedrite, medium (0.9mm) (IIIA).","SAM: MET28Aa 2995g, MET28Ab 585g, AUGD: 70kg, FIELD MUS: 53g, UCLA: 45g, BMNH: 491g.",1966
MET,29,,"Australia, South Australia, On Motpena station, in a claypan 13km NW of Parachilna railway siding., Flinders Ranges (31 6 0 S, 138 16 0 E)",,PARACHILNA,8.81kg,Stone. Olivine-hypersthene chondrite (L6).,"SAM: MET29Aa 1362g, MET29Ab 9.2g, MET29Ac 12.9g, MET29Ad 41.7g, MET29Ae 46.5g, MET29Af 17.5g, MET29Ag 19.8g, MET29Ah 11.4g, ANU: 4.71kg, BM(NH): 443g.",20 Jan 1969
MET,30,,"Australia, South Australia, 3km SW of Muckera Rock Hole, 70km N of Cook., Nullarbor Plain (30 5 0 S, 130 2 0 E)",,,513g,"Stone. Achondrite, Ca-rich. Howardite (AHOW)","SAM: MET30Aa 129g, AUGD: 250g.", May 1972
MET,31,,"Australia, South Australia, On the Beltana Pastoral Co.'s Murnpeowie Run, 16 miles ENE of Mt Hopeless, about 5 miles NW of Lake Callabonna., Far North (29 35 0 S, 139 54 0 E)",,,1143kg,Iron. Anomalous (IC),"SAM: MET31Aa 1140kg, AM: 2.5lb, USNM: 191g, BM(NH): 773.5g.",1964
MET,32,,"Australia, South Australia, At Nora Creina Bay, 25km SSE of Robe., South East (37 19 0 S, 139 51 0 E)",,NORA CRIENA,283.5g,Stone. Olivine-hypersthene chondrite (L4).,"SAM: MET32Aa 215g, MET32Ab 4.1g (MISSING), AMNH: 9.9g, USNM: 8.5g", Jun 1963
MET,33,,"Australia, South Australia, Ploughed up in paddock, about 14km SSE of Pinnaroo., Murraylands (32 23 0 S, 140 55 0 E)",,,39.4 kg,Stony-iron. Mesosiderite (MES),"SAM: METAa 2998g, MET33Ab 346g, MET33Ac 205g, AUGD: 25.1kg, USNM: 1130g, AMNH: 183g, BM(NH): 413g.",1966
MET,34,,"Australia, South Australia, On Kalamurina Station, 2km N of Warburton River & 15km from the Poonarunna oil well., Far North (27 46 0 S, 137 51 0 E)",,,unknown,Stone. Olivine-bronzite chondrite (H5).,SAM MET34Aa 71g, May 1971
MET,35,,"Australia, South Australia, Found on the surface partly covered with soil at Rhine Villa (now Cambrai) about 50 miles Ne of Adelaide., Murraylands (34 40 0 S, 139 17 0 E)",,"ADELAIDE, RHINE VALLEY",3.325kg,"Iron. Octahedrite, coarse (1.4mm) (IIIE)","SAM: MET35Aa 85.5g, NATURHIST MUS VIENNA: 333g, BUDAPEST NAT MUS: 181g, FIELD MUS: 124g, PRAGUE NAT MUS: 131g, COPENHAGEN UNIV GEOL MUS: 118g, HUMBOLDT UNIV BERLIN: 123g, USNM: 114g, BM(NH): 175g",1900
MET,36,,"Australia, South Australia, Near the Streaky Bay pumping station, 11km SE of Streaky Bay Jetty., Eyre Peninsula (32 52 0 S, 134 17 0 E)",,,909g,Stone. Olivine-hypersthene chondrite (L4).,SAM: MET36Aa 875g., Dec 1989
MET,37,,"Australia, South Australia, 10km NNE of Karoonda, Murraylands (35 1 0 S, 13 55 0 E)",,,430g,Stone. Olivine-hypersthene chondrite (L5).,"SAM: MET37Aa 318g, AMNH: 1.4g.",13 Jun 1956
MET,38,,"Australia, South Australia, At Weekeroo Station, Mannahill., Far North (32 16 0 S, 139 52 0 E)",,WEEKEROO STATION,94.2kg,"Iron.  Octahedrite, coarse (2.5mm) (IIE).","SAM: MET38Aa 1996g, MET38Ab 823g, AM: 47kg, USNM: 11kg, FIELD MUS 6.4kg, HARVARD: 3.3kg, ARIZ STATE UNIV: 5.5kg, AMNH: 3.2kg, BM(NH): 4.5kg + 83g frags.",1976
MET,39,,"Australia, South Australia, On sand dune at E end of Wilbia Hill, Musgrave Ranges., Far North (26 27 0 S, 131 0 0 E)",,,94g,Stone. Olivine-bronzite chondrite (H5).,"SAM: MET39Aa 54.3g, USNM: 3.8g, BM(NH): 8.5g.",1966
MET,40,,"Australia, South Australia, In sandhill country on Witchelina Station, S of Witchelina homestead., Far North (30 0 0 S, 138 0 0 E)",,,3.637g,Stone. Olivine-bronzite chondrite (H4).,"SAM: MET40Aa 368g, AUGD: 1.5kg, USNM: 156g, BM(NH): 81g.", Feb 1972
MET,41,,"Australia, South Australia, In mallee scrub about 6km S of Yardea Station, Gawler Ranges., Eyre Peninsula (32 27 0 S, 135 33 0 E)",,GAWLER RANGE,3.92kg,"Iron. Octahedrite, coarse (2.0mm) (IA)","SAM: MET41Aa 2278g, MET41Ab 170.6g, MET41Ac 40.2g, MET41Ad 19.4g, FIELD MUS: 73g.",1875
MET,42,,"Australia, Northern Territory, About 72km NNE of Alice Springs (23 20 0 S, 134 7 0 E)",,,unknown,"Iron. Ataxite, Ni rich (IRANOM)","SAM: MET42A 9.07kg, MET42Ba 5.67kg, MET42Bb 49.6g, MET42Bc total 27.6g, MET42Ca 59.8g.", Jan 1931
MET,43,,"Australia, Northern Territory, About 3.2km S of the Government cyanide works at Arltunga. (23 28 0 S, 134 40 0 E)",,,40lb,Iron.  Ataxite (IID-ANOM),"SAM: MET43Aa 12.7kg, MET43Ab 172.6g, MET43Ac 60.1g, MET43Ad total 55.2g, MET43Ae 474g.",26 Nov 1908
MET,44,,"Australia, Northern Territory, Crater recognised by C T Madigan, June 20 1937 but only shale balls collected. Material collected by J Webb & also R Bedford. (22 37 0 S, 135 12 0 E)",,HART RANGE,340kg,"Iron. Octahedrite, medium (1.0mm)(IIIA)","SAM: MET44A 166.92kg, 44B 682g, 44Ca 7.37g, 44Cb 507g (in Education), 44Da 2474g 44Db 454g.",20 Jun 1941
MET,45,,"Australia, Northern Territory, From the meteorite craters on Henbury Cattle Station, about 120km SW of Alice Springs. (24 34 0 S, 133 10 0 E)",,"BASEDOW RANGE, GALLIPOLI, GLEN HELEN, HA",2500kg,"Iron. Octahedrite, medium (0.9mm) (IIIA).","SAM: Over 100 pieces, the largest weighing 26.76kg.  Refer to Min register for weights. G5653, G5698-5750, G5939-5975, G5982-3, G5985-6, G6056-6060, G6089-6091, G7946-7, G9894, G15035, G20171.", May 1931
MET,46,,"Australia, Northern Territory, 1kg found by H Basedow in 1924 on the Burt Plains, Alice Springs. In July 1937 the main mass was found on Huckitta Station. (22 22 0 S, 135 46 0 E)",,"ALICE SPRINGS, HUCKITTE",1412.6kg,Stony-iron. Pallasite (PAL).,"SAM: MET46Aa 916kg, 46Ab 203kg, 46Ac 9.53kg, 46Ad 9.98kg, 46Ae 925g, 46Af 624g, 46Ag 1.87g, 46Ah unknown, 46Ai 877g, 46Aj 695g,",09 Dec 1937
MET,47,,"Australia, Northern Territory, 7 miles E of Bond Springs Station, about 13 miles NE of Alice Springs. (23 50 0 S, 134 2 0 E)",,BOND SPRINGS,22.9kg,"Iron. Octahedrite, fine (0.3mm) (IVA)","SAM: MET47Aa 21kg, MET47Ab 549g, MET47Ac 79g, MET47Ad 28.6g,", Sep 1942
MET,48,,"Australia, Northern Territory, ""Some 50 miles from Urapunga on the Roper River"". (15 0 0 S, 135 0 0 E)",,,14lb,"Iron. Octahedrite, medium (0.6mm) (IIIB)",SAM: MET48Aa 279g., May 1972
MET,49,,"Australia, Northern Territory, In the Tawallah Valley, about 78km NW of Borroloola. (15 42 0 S, 135 40 0 E)",,,75.75kg,"Iron. Ataxite, Ni-rich (IVB)",SAM: MET49Aa 553g.,1966
MET,50,,"Australia, Northern Territory, Buried in sandy soil, about 32km SSE of Yenberrie.  The mass was in 2 pieces which fitted together. (14 15 0 S, 132 1 0 E)",,,132kg,"Iron. Octahedrite, coarse (2.1mm) (IA)",SAM: MET50Aa 47.7g,23 Feb 1973
MET,51,,"Australia, Western Australia, 3 miles N of Nallah Nallah Rockhole, 10 miles ENE of Cocklebiddy., Nullarbor Plain (31 55 0 S, 126 15 0 E)",,,19.5kg,Stone. Olivine-bronzite chondrite (H5),SAM: METAa 151.7g,1964
MET,52,,"Australia, Western Australia, 36 miles SW of Rawlinna on the Trans Australian Railway., Nullarbor Plain (31 30 0 S, 125 5 0 E)",,RAWLINNA,503.5kg,"Iron. Octahedrite, medium (0.9mm) (IIIA)",SAM: MET52Aa 18.3g,27 Feb 1957
MET,53,,"Australia, Western Australia, Resting on the surface near a claypan at Lake Brown. A second mass of 13.6kg, originally named Lake Moore, is part of this fall (31 0 0 S, 118 31 0 E)",,"BURRACOPPIN, LAKE MOORE",23.35kg,Stone. Olivine-hypersthene chondrite (L6),SAM: MET53Aa 142.9g,01 Oct 1958
MET,54,,"Australia, Western Australia, Turned up while ploughing 3 miles NNW of Tarin Rock Siding, 15 miles NW of Lake Grace. (33 4 0 S, 118 13 0 E)",,,9.5kg,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET54Aa 4292g, MET54Ab 1670g, MET54Ac 1398g, MET54Ad 882g, MET54Ae 475g, MET54Af 554g, MET54Ag 123.4g, MET54Ah 80.1g, MET54Ai 115.8g.",03 Mar 1959
MET,55,,"Australia, Western Australia, 4 fragments (1.7kg) were found 12 miles from Mt Egerton in 1941, 250g in 12/1963, 20kg 8miles W of the summit in June 1966. (24 46 0 S, 117 42 0 E)",,SIBERIA,22kg,"Stony-iron. Mesosiderite, anomalous (MESANOM)","SAM: MET55Aa 16.5g, MET55Ba 21.7g, MET55Ca 17.3g, MET55Da 16.1g, MET55Ea 15g.",1974
MET,56,,"Australia, Western Australia, On Mount Padbury Station, near Meekatharra. (25 40 0 S, 118 6 0 E)",,,272kg,Stony-iron. Mesosiderite (MES),SAM: MET56Aa 44.2g., Nov 1977
MET,57,,"Australia, Western Australia, A Crowle found 94g, 45g & 39g 10 miles N of Mundrabilla Siding. Wilson & Cooney found 2 large masses (11 & 5 tons) in April 1966., Nullarbor Plain (30 47 0 S, 127 33 0 E)",,"LOONGANA STATION, LOONGANA STATION WEST,",,"Iron. Octahedrite, medium (0.6mm) (IRANOM)","SAM: MET57Aa 2-3 tons, 57Ab 45kg, MET57Ac ?, MET57Ba ?, MET57Bb 105g, MET57Bc 59g, MET57Bd 17g, MET57Ea 14g.", Jan 1976
MET,58,,"Australia, Western Australia, About 3km N of Naretha railway station, Trans Australian Railway. Stone was broken into 3. One piece erroneously named Kingoonya., Nullarbor Plain (31 0 0 S, 124 50 0 E)",,"KINGOONYA, KINGOOYA",3.5kg,Stone. Olivine-hypersthene chondrite (L4),"SAM: MET58Aa 74.2g, MET133Aa 346g.",1946
MET,59,,"Australia, South Australia, Found somewhere on the Nullarbor Plain., Nullarbor Plain (31 0 0 S, 132 0 0 E)",,,45kg,Stone. Olivine-bronzite chondrite (H5),"SAM: MET59Aa 40.kg, MET59Ab 2.85kg, MET59Ac 2.70g, MET59Ad 244g, MET59Ae 67.8g, MET59 39.1g, MET59Ag 208g.",1976
MET,60,,"Australia, Western Australia, 4 miles SW of the intersection of the Northern Territory - South Australia - Western Australia border. (26 3 0 S, 128 57 0 E)",,,200g,Stone. Olivine-bronzite chondrite (H4),SAM: MET60Aa (2 pieces) 29.8g,06 Jan 1959
MET,61,,"Australia, Western Australia, Crater first observed from the air in June 1947. Located 64 miles S of Hall's Creek. (19 10 0 S, 127 46 0 E)",,,,"Iron. Octahedrite, medium (0.85mm) (IIIB)",SAM: MET61 33.9g.,1965
MET,62,,"Australia, New South Wales, On Barratta Station, 30 miles NW of Deniliquin. 5 stones have been found at separate times. (35 18 0 S, 144 34 0 E)",,"BARATTA, DENILIQUIN",200kg,Stone. Olivine-hypersthene chondrite (L4),SAM: MET62Aa 62g,1901
MET,63,,"Australia, New South Wales, 2nd mass of 6.4kg found about 9 miles N of Bingera in 1924. Barraba and Warialda now known as Bingera 3 & 4. (29 53 0 S, 150 34 0 E)",,"BARRABA, BINGARA, WARIALDA",6.640kg,Iron. Hexahedrite (IIA),SAM: MET63Aa 46.7g.,
MET,64,,"Australia, New South Wales, On the ""Big Plain"", Yandama Station, County Evelyn. (29 45 0 S, 141 2 0 E)",,,340g,Stone. Olivine-hypersthene chondrite (L6),SAM: MET64Aa 290g,1914
MET,65,,"Australia, New South Wales, Found 4' below surface while prospecting for gold 3 miles W of Coolac. (34 58 0 S, 148 7 30 E)",,,19.28kg,"Iron. Octahedrite, coarse (2.1mm) (IA)",SAM: MET65Aa 90.4g,1973
MET,66,,"Australia, New South Wales, Seven stones found scattered in an area of about 4 square miles, about 40 miles SE of Brewarrina. 8th mass found in 1920. (30 23 0 S, 147 12 0 E)",,GILGOIN STATION,,Stone. Olivine-bronzite chondrite (H5).,SAM: MET66Aa 2175g. (ex G4984),1889
MET,67,,"Australia, New South Wales, On E Farrell's selection, Ti-Tree Creek, 12 miles W of Orange. (33 17 0 S, 148 53 0 E)",,,230lb,Stony-iron. Pallasite (PAL),"SAM: MET67A 1.08kg, G7983 missing.",30 Sep 1958
MET,68,,"Australia, New South Wales, In the Koonenberry Range, 5 miles from Morden Station, 100 miles NNE of Broken Hill. (30 30 0 S, 142 20 0 E)",,MORDAN,2.72kg,Iron. Hexahedrite? (IA?),"SAM: MET68Aa 2113g, MET68Ab 212g, MET68Ac 41.5g.",1922
MET,69,,"Australia, Queensland, In sand dunes approx. 17 miles NNE of Poeppel's Corner (25 47 0 S, 137 56 0 E)",,,277g,Stone. Olivine-hypersthene chondrite (L6).,SAM: MET69Aa 234g. SMITHSONIAN INST: 12g.,11 Nov 1980
MET,70,,"Australia, New South Wales, Near Mollie's Bore, Border Downs Station. (30 27 0 S, 140 59 0 E)",,MOLLIE'S BORE,12kg,Stone. Olivine-hypersthene chondrite (L4).,"SAM: MET70Aa 7.07kg, MET70Ab 2466g, MET70Ac 100.2g, MET70Ad 10.6g MET70Ae 16.4g, MET70Af 782g.",1979
MET,71,,"Australia, New South Wales, At Black's Camp, Big Plain, Yandama Station, 70km SW of Tibooburra. (29 20 0 S, 141 5 0 E)",,,5.68kg,Stone. Olivine-hypersthene chondrite (L6).,"SAM: MET71Aa 3.562kg, MET71Ab 379g.",1924
MET,72,,"Australia, Victoria, In a ploughed paddock near Dimboola. Original mass was sliced into 9 pieces. (36 30 0 S, 142 2 0 E)",,,16.6kg,Stone. Olivine-bronzite chondrite (H5).,"SAM: MET72Aa 6.625kg, MET72Ab 6.04kg, MET72Ac 1.729kg, MET72Ad 92.3g, MET72Ae 608g, MET72Af 209g, G5987G 105g missing. *** MET72Aa 6.625kg, MET72Ab 6.04kg, MET72Ac 1.729kg exchanged with Museum Victoria 03/08/2010***",1944
MET,73,,"Australia, Victoria, Found originally around 1886 but lost sight of. Relocated in 1911 by G Crozier in 1911 about 9 miles W of Wentworth. (34 9 0 S, 141 47 0 E)",,,55.34kg,Stone. Olivine-hypersthene chondrite (L6).,"SAM: MET73Aa 29.59kg, MET73Ab 1.451kg, MET73Ac 186.8g, MET73Ad 83.0g.",1911
